FacilityID,FacilityName,ReportPeriod,VOCs,UnitsOfVOCs,TSP,UnitsOfTSP,SOx,UnitsOfSOx,NOx,UnitsOfNOx,Status,Toluene,UnitsOfToluene,Xylene,UnitsOfXylene,Benzene,UnitsOfBenzene,Ethylbenzene,UnitsOfEthylbenzene,Styrene,UnitsOfStyrene,Methylenechloride,UnitsOfMethylenechloride,11Dichloroethane,UnitsOf11Dichloroethane,12Dichloroethane,UnitsOf12Dichloroethane,chloroform,UnitsOfchloroform,111Trichloroethane,UnitsOf111Trichloroethane,CarbonTetrachloride,UnitsOfCarbonTetrachloride,Trichloroethylene,UnitsOfTrichloroethylene,Tetrachloroethylene,UnitsOfTetrachloroethylene,heavymetal,UnitsOfheavymetal,Dioxin,UnitsOfDioxin
V7500124,台東縣農會飼料廠,2010年第4季,0,公噸,1.261,公噸,0,公噸,0,公噸,完成核算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T57A1296,富廣鑫工業有限公司,2010年第4季,0,公噸,0.347,公噸,0,公噸,0,公噸,完成核算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7600311,伯鎔鑄造股份有限公司,2010年第4季,0,公噸,0.49,公噸,0,公噸,0,公噸,完成核算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O17M3896,力晶積成電子製造股份有限公司P3,2010年第4季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3304784,國慶化學股份有限公司,2010年第4季,0,公噸,0.261,公噸,0,公噸,0,公噸,完成核算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2602281,元禎環保國際股份有限公司,2010年第4季,0,公噸,12.34,公噸,0,公噸,0,公噸,完成核算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9203607,文懷砂石有限公司,2010年第4季,0,公噸,7.475,公噸,0,公噸,0,公噸,完成核算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9100601,三櫻企業股份有限公司,2010年第4季,0,公噸,0.206,公噸,0,公噸,0,公噸,完成核算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V75B3659,旅人驛站鐵花大飯店股份有限公司東旅分公司,2011年第3季,0,公噸,0,公噸,0.046,公噸,0.032,公噸,完成核算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J59B3699,台灣高美可科技股份有限公司,2011年第3季,0.505,公噸,0,公噸,0,公噸,0,公噸,完成核算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2501798,勁展綠能有限公司,2011年第3季,3.662,公噸,0,公噸,0.442,公噸,0.839,公噸,完成核算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J59B3699,台灣高美可科技股份有限公司,2011年第2季,0.023,公噸,0,公噸,0,公噸,0,公噸,完成核算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
