FacilityID,FacilityName,ReportPeriod,VOCs,UnitsOfVOCs,TSP,UnitsOfTSP,SOx,UnitsOfSOx,NOx,UnitsOfNOx,Status
T57A1296,富廣鑫工業有限公司,2011年第1季,0,公噸,0.128,公噸,0,公噸,0,公噸,完成核算
O17M3925,力晶積成電子製造股份有限公司P1/2,2011年第4季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
O17M3925,力晶積成電子製造股份有限公司P1/2,2011年第3季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
O17M3925,力晶積成電子製造股份有限公司P1/2,2011年第2季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
O17M3925,力晶積成電子製造股份有限公司P1/2,2011年第1季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
O17M3896,力晶積成電子製造股份有限公司P3,2011年第4季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
O17M3896,力晶積成電子製造股份有限公司P3,2011年第3季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
O17M3896,力晶積成電子製造股份有限公司P3,2011年第2季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
O17M3896,力晶積成電子製造股份有限公司P3,2011年第1季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
E2602281,元禎環保國際股份有限公司,2011年第4季,0,公噸,13.792,公噸,0,公噸,0,公噸,完成核算
E2602281,元禎環保國際股份有限公司,2011年第3季,0,公噸,13.596,公噸,0,公噸,0,公噸,完成核算
E2602281,元禎環保國際股份有限公司,2011年第2季,0,公噸,13.559,公噸,0,公噸,0,公噸,完成核算
E2602281,元禎環保國際股份有限公司,2011年第1季,0,公噸,12.601,公噸,0,公噸,0,公噸,完成核算
N15A2609,大河凡而精機廠股份有限公司線西廠,2011年第4季,0.33,公噸,0,公噸,0.013,公噸,0.067,公噸,完成核算
J59B5031,聯合再生能源股份有限公司新竹一廠,2011年第4季,1.331,公噸,0,公噸,0,公噸,0,公噸,完成核算
N15A2609,大河凡而精機廠股份有限公司線西廠,2011年第3季,0.338,公噸,0,公噸,0.014,公噸,0.069,公噸,完成核算
J59B5031,聯合再生能源股份有限公司新竹一廠,2011年第3季,4.805,公噸,0,公噸,0,公噸,0,公噸,完成核算
N15A2609,大河凡而精機廠股份有限公司線西廠,2011年第2季,0.31,公噸,0,公噸,0.013,公噸,0.063,公噸,完成核算
J59B5031,聯合再生能源股份有限公司新竹一廠,2011年第2季,4.047,公噸,0,公噸,0,公噸,0,公噸,完成核算
N15A2609,大河凡而精機廠股份有限公司線西廠,2011年第1季,0.147,公噸,0,公噸,0.006,公噸,0.03,公噸,完成核算
J59B5031,聯合再生能源股份有限公司新竹一廠,2011年第1季,5.889,公噸,0,公噸,0,公噸,0,公噸,完成核算
Z6603001,馬祖酒廠實業股份有限公司(東引酒廠),2018年第3季,0.716,公噸,0,公噸,0,公噸,0.053,公噸,完成核算
Z6603001,馬祖酒廠實業股份有限公司(東引酒廠),2018年第2季,1.138,公噸,0,公噸,0,公噸,0.062,公噸,完成核算
Z6600019,台灣電力股份有限公司馬祖區營業處-東引電廠,2018年第3季,0.003,公噸,0,公噸,0.347,公噸,42.68,公噸,完成核算
Z6600019,台灣電力股份有限公司馬祖區營業處-東引電廠,2018年第2季,0.004,公噸,0.558,公噸,0.512,公噸,36.176,公噸,完成核算
Z6503042,台灣電力股份有限公司馬祖區營業處-西莒電廠,2018年第3季,0.002,公噸,0,公噸,0.133,公噸,28.295,公噸,完成核算
Z6503042,台灣電力股份有限公司馬祖區營業處-西莒電廠,2018年第2季,0.004,公噸,0.235,公噸,0.114,公噸,13.869,公噸,完成核算
Z6303328,台灣電力(股)公司協和發電廠馬祖珠山分廠-珠山機組,2018年第3季,0.003,公噸,2.928,公噸,15.138,公噸,222.894,公噸,完成核算
Z6303328,台灣電力(股)公司協和發電廠馬祖珠山分廠-珠山機組,2018年第2季,0.003,公噸,2.375,公噸,12.079,公噸,181.81,公噸,完成核算
Z6303006,馬祖酒廠實業股份有限公司,2018年第3季,2.714,公噸,0,公噸,0.002,公噸,0.086,公噸,完成核算
Z6303006,馬祖酒廠實業股份有限公司,2018年第2季,3.35,公噸,0,公噸,0.001,公噸,0.173,公噸,完成核算
Z6300023,台灣電力(股)公司協和發電廠馬祖珠山分廠-南竿機組,2018年第3季,0.006,公噸,0,公噸,0.47,公噸,67.217,公噸,完成核算
Z6300023,台灣電力(股)公司協和發電廠馬祖珠山分廠-南竿機組,2018年第2季,0.007,公噸,0.586,公噸,0.416,公噸,60.235,公噸,完成核算
X0901036,台灣電力股份有限公司澎湖區營業處七美發電廠,2018年第3季,0.038,公噸,0,公噸,0.07,公噸,23.355,公噸,完成核算
X0901036,台灣電力股份有限公司澎湖區營業處七美發電廠,2018年第2季,0.031,公噸,0.527,公噸,0.076,公噸,20.494,公噸,完成核算
X0801031,台灣電力股份有限公司澎湖區營業處望安發電廠,2018年第3季,0.046,公噸,0,公噸,0.056,公噸,25.976,公噸,完成核算
X0801031,台灣電力股份有限公司澎湖區營業處望安發電廠,2018年第2季,0.029,公噸,0.269,公噸,0.06,公噸,22.118,公噸,完成核算
X0704126,共合造船廠,2018年第3季,0.329,公噸,0,公噸,0,公噸,0,公噸,完成核算
X0704126,共合造船廠,2018年第2季,0.402,公噸,0,公噸,0,公噸,0,公噸,完成核算
X0704117,金泉泰造船廠,2018年第3季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
X0704117,金泉泰造船廠,2018年第2季,0.035,公噸,0,公噸,0,公噸,0,公噸,完成核算
X0695248,新東和造船廠,2018年第3季,0.17,公噸,0,公噸,0,公噸,0,公噸,完成核算
X0695248,新東和造船廠,2018年第2季,0.17,公噸,0,公噸,0,公噸,0,公噸,完成核算
X0604130,國福造船廠,2018年第3季,0.17,公噸,0,公噸,0,公噸,0,公噸,完成核算
X0604130,國福造船廠,2018年第2季,0.17,公噸,0,公噸,0,公噸,0,公噸,完成核算
X0595627,昌億預拌混凝土有限公司(二),2018年第3季,0,公噸,0.769,公噸,0,公噸,0,公噸,完成核算
X0595627,昌億預拌混凝土有限公司(二),2018年第2季,0,公噸,1.18,公噸,0,公噸,0,公噸,完成核算
X0504493,新珊洗衣店,2018年第3季,0.01,公噸,0,公噸,0,公噸,0,公噸,完成核算
X0504493,新珊洗衣店,2018年第2季,0.01,公噸,0,公噸,0,公噸,0,公噸,完成核算
X0504233,豪信預拌混凝土有限公司林投廠,2018年第3季,0,公噸,0.069,公噸,0,公噸,0,公噸,完成核算
X0504233,豪信預拌混凝土有限公司林投廠,2018年第2季,0,公噸,0,公噸,0.161,公噸,0.164,公噸,完成核算
X0504180,台灣中油股份有限公司油品行銷事業部嘉義營業處馬公行銷服務中心,2018年第3季,2.873,公噸,0,公噸,0,公噸,0,公噸,核算確認中
X0504180,台灣中油股份有限公司油品行銷事業部嘉義營業處馬公行銷服務中心,2018年第2季,2.413,公噸,0,公噸,0,公噸,0,公噸,核算確認中
X0501527,空軍馬公基地勤務隊,2018年第3季,0,公噸,0,公噸,0,公噸,0.013,公噸,完成核算
X0501527,空軍馬公基地勤務隊,2018年第2季,0,公噸,0,公噸,0,公噸,0.009,公噸,完成核算
X0501447,法務部矯正署澎湖監獄,2018年第3季,0.001,公噸,0,公噸,0.001,公噸,0.007,公噸,完成核算
X0501447,法務部矯正署澎湖監獄,2018年第2季,0.001,公噸,0,公噸,0,公噸,0.008,公噸,完成核算
X0501296,泰永企業行水泥預拌混凝土廠,2018年第3季,0.105,公噸,1.001,公噸,0.256,公噸,0.211,公噸,完成核算
X0501296,泰永企業行水泥預拌混凝土廠,2018年第2季,0.006,公噸,0,公噸,0,公噸,0,公噸,完成核算
X0501241,柄森企業有限公司湖西廠,2018年第3季,0,公噸,1.144,公噸,0,公噸,0,公噸,完成核算
X0501241,柄森企業有限公司湖西廠,2018年第2季,0,公噸,5.201,公噸,0,公噸,0,公噸,完成核算
X0501232,臺灣電力股份有限公司尖山發電廠,2018年第3季,0.014,公噸,14.024,公噸,183.395,公噸,399.516,公噸,完成核算
X0501232,臺灣電力股份有限公司尖山發電廠,2018年第2季,0.014,公噸,10.896,公噸,169.651,公噸,318.256,公噸,完成核算
X04A4807,澎澄大飯店,2018年第3季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算
X04A4372,福朋喜來登酒店,2018年第3季,0,公噸,0.002,公噸,0,公噸,0.341,公噸,完成核算
X04A3374,明新洗衣店,2018年第3季,0,公噸,0.026,公噸,0.266,公噸,0.184,公噸,完成核算
X04A3374,明新洗衣店,2018年第2季,0,公噸,0,公噸,0.304,公噸,0.211,公噸,完成核算
X04A2871,權耀工程有限公司,2018年第3季,0.129,公噸,1.142,公噸,0.223,公噸,0.353,公噸,完成核算
X04A2871,權耀工程有限公司,2018年第2季,0.033,公噸,0.817,公噸,0.057,公噸,0.09,公噸,完成核算
X04A2613,雅霖大飯店有限公司,2018年第3季,0,公噸,0,公噸,0,公噸,0.015,公噸,完成核算
